2025-09-10 18:29:07,595 - INFO - Parâmetros: LR=0.01, Dropout=0.3, Batch=8, Optimizer=adamw, Hidden=2048, Aug=light
2025-09-10 18:29:07,595 - INFO - Usando dispositivo: cuda
2025-09-10 18:29:07,639 - INFO - Dataset dividido em: 20958 treino, 6986 validação, 6987 teste.
2025-09-10 18:31:23,355 - INFO - Epoch 1/50 -> Loss: 5.8114, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 18:31:23,355 - INFO - 🎉 Novo melhor F1-Score de validação: 0.0546
2025-09-10 18:33:38,451 - INFO - Epoch 2/50 -> Loss: 1.7084, Val F1: 0.0587, Val Acc: 0.1721
2025-09-10 18:33:38,452 - INFO - 🎉 Novo melhor F1-Score de validação: 0.0587
2025-09-10 18:35:53,582 - INFO - Epoch 3/50 -> Loss: 1.7665, Val F1: 0.0587, Val Acc: 0.1721
2025-09-10 18:38:08,729 - INFO - Epoch 4/50 -> Loss: 1.6625, Val F1: 0.0583, Val Acc: 0.1708
2025-09-10 18:40:23,834 - INFO - Epoch 5/50 -> Loss: 3.0528, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 18:42:38,950 - INFO - Epoch 6/50 -> Loss: 1.7568, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 18:44:54,041 - INFO - Epoch 7/50 -> Loss: 1.9615, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 18:47:09,117 - INFO - Epoch 8/50 -> Loss: 1.6063, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 18:49:24,134 - INFO - Epoch 9/50 -> Loss: 2.2446, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 18:51:39,184 - INFO - Epoch 10/50 -> Loss: 1.9471, Val F1: 0.0583, Val Acc: 0.1708
2025-09-10 18:53:54,194 - INFO - Epoch 11/50 -> Loss: 1.8387, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 18:56:09,228 - INFO - Epoch 12/50 -> Loss: 1.6205, Val F1: 0.0583, Val Acc: 0.1708
2025-09-10 18:58:24,184 - INFO - Epoch 13/50 -> Loss: 1.7423, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:00:39,198 - INFO - Epoch 14/50 -> Loss: 1.9596, Val F1: 0.0587, Val Acc: 0.1721
2025-09-10 19:02:54,222 - INFO - Epoch 15/50 -> Loss: 1.9385, Val F1: 0.0583, Val Acc: 0.1708
2025-09-10 19:05:09,231 - INFO - Epoch 16/50 -> Loss: 1.9473, Val F1: 0.0587, Val Acc: 0.1721
2025-09-10 19:07:24,272 - INFO - Epoch 17/50 -> Loss: 1.5972, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:09:39,251 - INFO - Epoch 18/50 -> Loss: 2.6468, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:11:54,240 - INFO - Epoch 19/50 -> Loss: 1.7025, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:14:09,255 - INFO - Epoch 20/50 -> Loss: 1.6287, Val F1: 0.0583, Val Acc: 0.1708
2025-09-10 19:16:24,146 - INFO - Epoch 21/50 -> Loss: 1.5985, Val F1: 0.0587, Val Acc: 0.1721
2025-09-10 19:18:39,115 - INFO - Epoch 22/50 -> Loss: 1.6578, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:20:54,073 - INFO - Epoch 23/50 -> Loss: 1.5941, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:23:08,874 - INFO - Epoch 24/50 -> Loss: 2.1117, Val F1: 0.0587, Val Acc: 0.1721
2025-09-10 19:25:23,836 - INFO - Epoch 25/50 -> Loss: 1.6267, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:27:38,771 - INFO - Epoch 26/50 -> Loss: 1.5963, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:29:53,668 - INFO - Epoch 27/50 -> Loss: 1.7979, Val F1: 0.0587, Val Acc: 0.1721
2025-09-10 19:32:08,550 - INFO - Epoch 28/50 -> Loss: 1.5953, Val F1: 0.0587, Val Acc: 0.1721
2025-09-10 19:34:23,363 - INFO - Epoch 29/50 -> Loss: 1.5934, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:36:38,160 - INFO - Epoch 30/50 -> Loss: 1.5947, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:38:52,892 - INFO - Epoch 31/50 -> Loss: 1.5940, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:41:07,519 - INFO - Epoch 32/50 -> Loss: 1.5935, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:43:22,107 - INFO - Epoch 33/50 -> Loss: 1.5963, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:45:36,653 - INFO - Epoch 34/50 -> Loss: 1.6058, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:47:51,237 - INFO - Epoch 35/50 -> Loss: 1.5935, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:50:05,757 - INFO - Epoch 36/50 -> Loss: 1.6057, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:52:20,294 - INFO - Epoch 37/50 -> Loss: 1.6035, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:54:34,913 - INFO - Epoch 38/50 -> Loss: 1.5921, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:56:49,476 - INFO - Epoch 39/50 -> Loss: 1.5903, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 19:59:04,052 - INFO - Epoch 40/50 -> Loss: 1.5932, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 20:01:18,612 - INFO - Epoch 41/50 -> Loss: 1.5911, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 20:03:33,160 - INFO - Epoch 42/50 -> Loss: 1.5908, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 20:05:47,725 - INFO - Epoch 43/50 -> Loss: 1.5922, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 20:08:02,252 - INFO - Epoch 44/50 -> Loss: 1.5940, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 20:10:16,800 - INFO - Epoch 45/50 -> Loss: 1.5928, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 20:12:31,340 - INFO - Epoch 46/50 -> Loss: 1.5926, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 20:14:45,926 - INFO - Epoch 47/50 -> Loss: 1.5922, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 20:17:00,545 - INFO - Epoch 48/50 -> Loss: 1.5946, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 20:19:15,130 - INFO - Epoch 49/50 -> Loss: 1.5916, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 20:21:29,701 - INFO - Epoch 50/50 -> Loss: 1.5950, Val F1: 0.0546, Val Acc: 0.1580
2025-09-10 20:21:29,701 - INFO - 
--- Avaliação Final no Conjunto de Teste ---
